Product,Brand,Reviews,Stars,Loves,Price,Category ,Type,CleanSephora,Parabens,Ingredients,Sephora
Creme de la Mer,La Mer,394,4.1,50000,175,Moisturizer,Moisturizer,No,Yes,https://bit.ly/2Ux1CTr,
Protini Polypeptide Cream,Drunk Elephant,1000,4.4,90000,68,Moisturizer,Moisturizer,Yes,No,,
Cicapair Tiger Grass Color Correcting Treatment SPF 30,DR. JART+,1000,4.2,50000,52,SPF,SPF-Physical,No ,No,,
Double-Duty Face Moisturizer Broad Spectrum SPF 20,JACK BLACK,345,4.5,10000,28,SPF,SPF-Chemical,No,No,,
The Eye Concentrate,La Mer,92,3.6,10000,215,Eye Cream,Eye Cream,No,Yes,,
C-Tango Multivitamin Eye Cream,Drunk Elephant,319,3.9,40000,64,Eye Cream,Eye Cream,Yes,No,,
Facial Treatment Mask (10pc),SK-II,322,4.4,30000,135,Mask,Mask-Sheet,No,Yes,,
T.L.C. Sukari Babyfacial,Drunk Elephant,1000,4.4,150000,80,Mask,Mask-Face,No,No,,
Facial Treatment Essence,SK-II,727,4.1,60000,179,Treatments,Treatments-Serum,No,Yes,,
C-Firma Day Serum,Drunk Elephant,1000,4,100000,80,Treatments,Treatments-Peel,No,No,,
Tonique Confort Re-Hydrating Comforting Toner with Acacia Honey,LANCOME,1000,4.6,20000,26,Toner/Essence,Toner/Essence-TONER,No,Yes,,
Rose Deep Hydration Facial Toner,FRESH,635,4.2,90000,44,Toner/Essence,Toner/Essence-ESSENCE,No,No,,
T.L.C. Framboos Glycolic Night Serum,Drunk Elephant,1000,4.3,120000,90,Exfoliator,Exfoliator-Chemical,Yes,No,,
The Rice Polish Foaming Enzyme Powder,TATCHA,1000,4.4,40000,65,Exfoliator,Exfoliator-Physical,Yes,No,,
Soy Face Cleanser,FRESH,6000,4.4,140000,38,Cleanser,Cleanser-Water,No,No ,,
Green Clean Makeup Meltaway Cleansing Balm with Echinacea GreenEnvy,FARMACY,1000,4.6,80000,34,Cleanser,Cleanser-Oil,Yes,No,,
The Water Cream,TATCHA,1000,4.2,120000,68,Moisturizer,Moisturizer,Yes,No,,https://seph.me/2Bm5CAO
Lala Retro Whipped Cream,Drunk Elephant,1000,4.2,80000,60,Moisturizer,Moisturizer,Yes,No,,https://seph.me/2N9rlgF
Luna Sleeping Night Oil,Sunday Riley,1000,4.1,100000,105,Moisturizer,Moisturizer,No,No,,https://seph.me/2wlPUAr
Virgin Marula Luxury Facial Oil,Drunk Elephant,878,4.4,90000,72,Moisturizer,Moisturizer,Yes,No,,https://seph.me/2SH3Iyo
Lotus Youth Preserve Moisturizer,FRESH,2000,4.3,110000,45,Moisturizer,Moisturizer,No,No,,https://seph.me/2PtxEkb
The True Cream Aqua Bomb,BELIF,2000,4.5,120000,38,Moisturizer,Moisturizer,No,No,,https://seph.me/2O75Ixz
Ultra Facial Cream,Kiehl's Since 1851,671,4.4,50000,29.5,Moisturizer,Moisturizer,No,Yes,,https://seph.me/2vytCds
Ultra Repair Cream Intense Hydration,First Aid Beauty,6000,4.6,130000,30,Moisturizer,Moisturizer,No,No,,https://seph.me/2LXbdl6
The Moisturizing Soft Cream,La Mer,147,3.9,10000,175,Moisturizer,Moisturizer,No,No,,
Rose Deep Hydration Moisturizer,FRESH,778,4.4,60000,40,Moisturizer,Moisturizer,No,No,,
Moisture Surge 72-Hour Auto-Replenishing Hydrator,CLINIQUE,564,4.4,40000,39,Moisturizer,Moisturizer,No,No,,
Pep-Start HydroBlur Moisturizer,CLINQUE,533,3.7,10000,29.5,Moisturizer,Moisturizer,No,No,,
Dramatically Different Moisturizing Lotion+,CLINIQUE,1000,3.9,60000,28,Moisturizer,Moisturizer,No,No,,https://seph.me/2PuOYAw
Unicorn Essence Antioxidant Primer Serum,FARSALI,1000,3.9,120000,54,Moisturizer,Moisturizer,No,No,,https://seph.me/2PVyGSh
Charlotte's Magic Cream,Charlotte Tilbury,451,4.4,7327,100,Moisturizer,Moisturizer,No,No,,https://seph.me/2F973o4
The True Cream Aqua Bomb,BELIF,1000,4.6,60000,38,Moisturizer,Moisturizer,No,No,,https://seph.me/2wOqSdx
100 Percent Pure Argan Oil,JOSIE MARAN,7000,4.5,110000,48,Moisturizer,Moisturizer,Yes,No,,https://seph.me/2Q6BGzo
GLOWSTARTER Mega Illuminating Moisturizer,GLAMGLOW,1000,4,50000,49,Moisturizer,Moisturizer,No,No,,https://seph.me/2UEziP8
,,,,,,SPF,,,,,
,,,,,,SPF,,,,,
,,,,,,SPF,,,,,
,,,,,,SPF,,,,,
,,,,,,SPF,,,,,
,,,,,,SPF,,,,,
,,,,,,SPF,,,,,
,,,,,,SPF,,,,,
,,,,,,SPF,,,,,
,,,,,,SPF,,,,,
,,,,,,SPF,,,,,
,,,,,,SPF,,,,,
,,,,,,SPF,,,,,
,,,,,,SPF,,,,,
,,,,,,SPF,,,,,
,,,,,,SPF,,,,,
,,,,,,SPF,,,,,
,,,,,,Mask,,,,,
,,,,,,Mask,,,,,
,,,,,,Mask,,,,,
,,,,,,Mask,,,,,
,,,,,,Mask,,,,,
,,,,,,Mask,,,,,
,,,,,,Mask,,,,,
,,,,,,Mask,,,,,
,,,,,,Mask,,,,,
,,,,,,Mask,,,,,
,,,,,,Mask,,,,,
,,,,,,Mask,,,,,
,,,,,,Mask,,,,,
,,,,,,Mask,,,,,
,,,,,,Mask,,,,,
,,,,,,Mask,,,,,
,,,,,,Mask,,,,,
,,,,,,Mask,,,,,
,,,,,,Treatments,,,,,
,,,,,,Treatments,,,,,
,,,,,,Treatments,,,,,
,,,,,,Treatments,,,,,
,,,,,,Treatments,,,,,
,,,,,,Treatments,,,,,
,,,,,,Treatments,,,,,
,,,,,,Treatments,,,,,
,,,,,,Treatments,,,,,
,,,,,,Treatments,,,,,
,,,,,,Treatments,,,,,
,,,,,,Treatments,,,,,
,,,,,,Treatments,,,,,
,,,,,,Treatments,,,,,
,,,,,,Treatments,,,,,
,,,,,,Treatments,,,,,
,,,,,,Treatments,,,,,
,,,,,,Treatments,,,,,
,,,,,,Toner/Essence,,,,,
,,,,,,Toner/Essence,,,,,
,,,,,,Toner/Essence,,,,,
,,,,,,Toner/Essence,,,,,
,,,,,,Toner/Essence,,,,,
,,,,,,Toner/Essence,,,,,
,,,,,,Toner/Essence,,,,,
,,,,,,Toner/Essence,,,,,
,,,,,,Toner/Essence,,,,,
,,,,,,Toner/Essence,,,,,
,,,,,,Toner/Essence,,,,,
,,,,,,Toner/Essence,,,,,
,,,,,,Toner/Essence,,,,,
,,,,,,Toner/Essence,,,,,
,,,,,,Toner/Essence,,,,,
,,,,,,Toner/Essence,,,,,
,,,,,,Toner/Essence,,,,,
,,,,,,Toner/Essence,,,,,
,,,,,,Exfoliator,,,,,
,,,,,,Exfoliator,,,,,
,,,,,,Exfoliator,,,,,
,,,,,,Exfoliator,,,,,
,,,,,,Exfoliator,,,,,
,,,,,,Exfoliator,,,,,
,,,,,,Exfoliator,,,,,
,,,,,,Exfoliator,,,,,
,,,,,,Exfoliator,,,,,
,,,,,,Exfoliator,,,,,
,,,,,,Exfoliator,,,,,
,,,,,,Exfoliator,,,,,
,,,,,,Exfoliator,,,,,
,,,,,,Exfoliator,,,,,
,,,,,,Exfoliator,,,,,
,,,,,,Exfoliator,,,,,
,,,,,,Exfoliator,,,,,
,,,,,,Exfoliator,,,,,
,,,,,,Cleanser,,,,,
,,,,,,Cleanser,,,,,
,,,,,,Cleanser,,,,,
,,,,,,Cleanser,,,,,
,,,,,,Cleanser,,,,,
,,,,,,Cleanser,,,,,
,,,,,,Cleanser,,,,,
,,,,,,Cleanser,,,,,
,,,,,,Cleanser,,,,,
,,,,,,Cleanser,,,,,
,,,,,,Cleanser,,,,,
,,,,,,Cleanser,,,,,
,,,,,,Cleanser,,,,,
,,,,,,Cleanser,,,,,
,,,,,,Cleanser,,,,,
,,,,,,Cleanser,,,,,
,,,,,,Cleanser,,,,,
,,,,,,Cleanser,,,,,
